Fiscal_Year,Fiscal_Period,Department,Program,Expense_Category,Fund,Vendor_Name,Vendor_Number,Payment_Number,Payment_Method,Payment_Issue_date,Payment_Status,Amount
2015,4,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0022932,Check,10/21/14 0:00,Paid,95105.05
2015,5,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0029334,Check,11/21/14 0:00,Paid,68431.00
2014,7,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0041725,Check,1/21/14 0:00,Paid,449887.53
2014,10,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0059673,Check,4/15/14 0:00,Paid,44000.00
2014,10,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0059673,Check,4/15/14 0:00,Paid,69561.94
2014,10,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0059673,Check,4/15/14 0:00,Paid,71890.53
2014,10,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0059673,Check,4/15/14 0:00,Paid,102913.69
2014,10,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0059673,Check,4/15/14 0:00,Paid,129872.49
2014,10,HEALTH                                                      ,HTH100,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,S0059673,Check,4/15/14 0:00,Paid,215756.40
2015,4,HEALTH                                                      ,HTH730,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,T0003688,Check,10/28/14 0:00,Paid,28019.51
2015,4,HEALTH                                                      ,HTH730,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,T0003877,Check,10/31/14 0:00,Paid,61023.94
2015,5,HEALTH                                                      ,HTH730,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,T0004196,Check,11/14/14 0:00,Paid,92628.34
2015,6,HEALTH                                                      ,HTH730,DRUGS & BIOLOGICS                                 ,,AMERISOURCEBERGEN DRUG CORP.,275574,T0004977,Check,12/12/14 0:00,Paid,88307.82
2015,1,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0002150,Check,7/11/14 0:00,Paid,257203.15
2015,3,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0021466,Check,9/8/14 0:00,Paid,30436.87
2015,3,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0021466,Check,9/8/14 0:00,Paid,260794.45
2015,3,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0024509,Check,9/16/14 0:00,Paid,205048.66
2015,4,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0033271,Check,10/15/14 0:00,Paid,223418.66
2015,5,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0040691,Check,11/14/14 0:00,Paid,245945.94
2015,6,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0051243,Check,12/10/14 0:00,Paid,217671.75
2014,7,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0052755,Check,1/13/14 0:00,Paid,222184.35
2014,8,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0061683,Check,2/13/14 0:00,Paid,233421.86
2014,9,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0067938,Check,3/10/14 0:00,Paid,215661.92
2014,11,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0085520,Check,5/8/14 0:00,Paid,238570.03
2014,12,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0096895,Check,6/17/14 0:00,Paid,240157.63
2014,12,HEALTH                                                      ,HTH430,DRUGS & BIOLOGICS                                 ,,PHARMACY CORPORATION OF,253771,G0096895,Check,6/17/14 0:00,Paid,273096.01
2015,1,HEALTH                                                      ,HTH100,MEDICAL & SURGICAL                                ,,FISHER HEALTHCARE,316900,G0002975,Check,7/17/14 0:00,Paid,66086.36
2014,9,TRANSPORTATION                                              ,TRN114,SAFETY SUPPLIES                                   ,,GRAINGER,276597,S0057837,Check,4/2/14 0:00,Paid,49949.79
2015,2,PUBLIC SAFETY                                               ,PSD900,OPERATING SUPPLIES                                ,,"HAWAIYA TECHNOLOGIES, INC.",286678,G0015228,Check,8/26/14 0:00,Paid,31110.95
2015,6,TRANSPORTATION                                              ,TRN104,OTHER OPERATING SUPPLIES NOT CLASSIFIED           ,,FASTENAL COMPANY,274254,S0037477,Check,12/30/14 0:00,Paid,45856.51
2015,6,TRANSPORTATION                                              ,TRN102,OTHER OPERATING SUPPLIES NOT CLASSIFIED           ,,FASTENAL COMPANY,274254,S0037477,Check,12/30/14 0:00,Paid,108388.09
2014,7,TRANSPORTATION                                              ,TRN111,OTHER OPERATING SUPPLIES NOT CLASSIFIED           ,,PACIFIC WIRELESS,260898,S0039471,Check,1/7/14 0:00,Paid,34041.45
2014,10,TRANSPORTATION                                              ,TRN102,OTHER OPERATING SUPPLIES NOT CLASSIFIED           ,,"W. W. GRAINGER, INC.",319829,S0059140,Check,4/10/14 0:00,Paid,152803.08
2014,8,TRANSPORTATION                                              ,TRN501,ELECTRONIC PARTS/SUPPLIES                         ,,PACIFIC WIRELESS,260898,S0048801,Check,2/25/14 0:00,Paid,25916.22
2014,12,TRANSPORTATION                                              ,TRN501,ELECTRONIC PARTS/SUPPLIES                         ,,SEC CORPORATION,324690,S0072842,Check,6/13/14 0:00,Paid,35286.00
2014,11,DEFENSE                                                     ,DEF110,REPAIR AND MAINTENANCE SUPPLIES                   ,,FEDERAL SIGNAL CORPORATION,308235,S0065093,Check,5/8/14 0:00,Paid,50851.35
2015,2,PUBLIC SAFETY                                               ,PSD403,REPAIR AND MAINTENANCE SUPPLIES                   ,,FASTENAL COMPANY,274254,G0013810,Check,8/20/14 0:00,Paid,39478.91
2015,1,"BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM                 ",BED146,REPAIR AND MAINTENANCE SUPPLIES                   ,,"SIMS PUMP VALVE CO., INC.",331157,S0003034,Check,7/24/14 0:00,Paid,57260.00
2014,10,TRANSPORTATION                                              ,TRN501,HWY C&M - ELECTRICAL SUPPLIES                     ,,"COMMERCIAL ELECTRIC, INC.",2704,S0058759,Check,4/9/14 0:00,Paid,60050.00
2014,9,TRANSPORTATION                                              ,TRN501,HWY C&M - PAVEMENT MARKERS                        ,,"GP ROADWAY SOLUTIONS, INC.",294218,S0053324,Check,3/14/14 0:00,Paid,28400.00
2014,12,TRANSPORTATION                                              ,TRN501,HWY C&M - PAVEMENT MARKERS                        ,,"GP ROADWAY SOLUTIONS, INC.",294218,S0073099,Check,6/16/14 0:00,Paid,40111.04
2015,2,TRANSPORTATION                                              ,TRN561,HWY C&M - GUARDRAIL & POST                        ,,SAFETY SYSTEMS AND SIGNS,321284,S0009193,Check,8/21/14 0:00,Paid,79950.00
2015,4,LAND AND NATURAL RESOURCES                                  ,LNR804,R&M MAT & SUP - BLDG & CONS                       ,,LAND PREP LLC,301061,B0001797,Check,10/24/14 0:00,Paid,48000.00
2014,8,TRANSPORTATION                                              ,TRN501,HWY C&M - FENCING MATERIAL                        ,,"DAVID'S FENCING, INC.",225115,S0047474,Check,2/18/14 0:00,Paid,89968.11
2015,1,TAXATION                                                    ,TAX107,OFFICE SUPPLIES                                   ,,"HAGADONE PRINTING COMPANY, INC",247438,G0009895,Check,8/5/14 0:00,Paid,39347.89
2014,7,TAXATION                                                    ,TAX107,OFFICE SUPPLIES                                   ,,"HAGADONE PRINTING COMPANY, INC",247438,G0054613,Check,1/21/14 0:00,Paid,117832.85
2014,7,TAXATION                                                    ,TAX107,OFFICE SUPPLIES                                   ,,"HAGADONE PRINTING COMPANY, INC",247438,G0056241,Check,1/27/14 0:00,Paid,119500.28
2014,9,TAXATION                                                    ,TAX107,OFFICE SUPPLIES                                   ,,"HAGADONE PRINTING COMPANY, INC",247438,G0069734,Check,3/13/14 0:00,Paid,26604.06
2014,12,PUBLIC SAFETY                                               ,PSD420,OFFICE SUPPLIES                                   ,,"AT-YOUR-SERVICE SOFTWARE, INC.",331845,G0001756,Check,7/9/14 0:00,Paid,27469.35
2014,12,PUBLIC SAFETY                                               ,PSD503,OFFICE SUPPLIES                                   ,,INTELLICHOICE INC.,316322,G0101284,Check,6/27/14 0:00,Paid,26275.05
2014,7,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,"MEDCORP DISTRIBUTING, INC.",318979,S0044247,Check,1/29/14 0:00,Paid,25704.00
2014,11,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,"MEDCORP DISTRIBUTING, INC.",318979,S0065181,Check,5/8/14 0:00,Paid,26632.69
2014,12,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,"MEDCORP DISTRIBUTING, INC.",318979,S0075449,Check,6/26/14 0:00,Paid,26640.12
2015,1,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0002266,Check,7/21/14 0:00,Paid,30839.31
2015,3,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0014600,Check,9/12/14 0:00,Paid,31330.38
2015,3,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0017476,Check,9/26/14 0:00,Paid,31485.71
2015,4,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0020716,Check,10/8/14 0:00,Paid,28446.19
2015,4,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0023423,Check,10/23/14 0:00,Paid,27698.08
2015,5,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0029798,Check,11/25/14 0:00,Paid,27732.04
2015,6,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0034046,Check,12/12/14 0:00,Paid,46080.21
2014,10,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0058194,Check,4/4/14 0:00,Paid,27073.86
2014,10,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0058194,Check,4/4/14 0:00,Paid,31338.90
2014,10,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0059114,Check,4/10/14 0:00,Paid,30172.68
2014,10,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0059114,Check,4/10/14 0:00,Paid,31456.73
2014,11,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0068158,Check,5/23/14 0:00,Paid,28178.96
2014,12,DEFENSE                                                     ,DEF114,FOOD SUPPLIES                                     ,,NIPPON FOOD TAKEOUT & CATERING,316886,S0075450,Check,6/26/14 0:00,Paid,28406.71
2014,10,HUMAN SERVICES                                              ,HMS503,PROVISIONS (NOT FOR RESALE)                       ,,HFM FOODSERVICE,19528,G0081549,Check,4/24/14 0:00,Paid,41203.65
2015,5,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0040963,Check,11/17/14 0:00,Paid,33035.11
2015,6,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0051741,Check,12/12/14 0:00,Paid,26870.07
2014,9,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0075209,Check,3/31/14 0:00,Paid,25572.73
2014,12,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0101888,Check,6/30/14 0:00,Paid,27241.23
2014,12,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0101888,Check,6/30/14 0:00,Paid,28040.68
2014,12,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0101888,Check,6/30/14 0:00,Paid,29685.57
2014,12,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,AALA MEAT MARKET INC.,219889,G0101888,Check,6/30/14 0:00,Paid,30695.20
2015,3,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,P & E FOODS INC,87009,G0025032,Check,9/18/14 0:00,Paid,28004.03
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,P & E FOODS INC,87009,G0029007,Check,10/2/14 0:00,Paid,40549.11
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,P & E FOODS INC,87009,G0035073,Check,10/23/14 0:00,Paid,25834.09
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,P & E FOODS INC,87009,G0035073,Check,10/23/14 0:00,Paid,26607.95
2015,5,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,P & E FOODS INC,87009,G0038699,Check,11/6/14 0:00,Paid,51903.12
2015,6,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,"HATA, Y. & CO., LTD.",14490,G0055253,Check,12/24/14 0:00,Paid,25535.39
2015,2,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0011952,Check,8/14/14 0:00,Paid,25339.99
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0029006,Check,10/2/14 0:00,Paid,34810.51
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0029006,Check,10/2/14 0:00,Paid,53693.07
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0035795,Check,10/27/14 0:00,Paid,28173.96
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0037741,Check,10/31/14 0:00,Paid,28774.91
2015,5,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0039561,Check,11/10/14 0:00,Paid,53548.10
2015,5,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0040962,Check,11/17/14 0:00,Paid,26180.90
2015,5,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0040962,Check,11/17/14 0:00,Paid,32087.57
2015,6,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0054109,Check,12/19/14 0:00,Paid,37283.53
2015,6,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0055937,Check,12/26/14 0:00,Paid,30252.12
2015,6,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,HFM FOODSERVICE,19528,G0055937,Check,12/26/14 0:00,Paid,55195.70
2015,3,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,PALAMA HOLDINGS LLC,292799,G0025828,Check,9/22/14 0:00,Paid,28493.60
2015,4,PUBLIC SAFETY                                               ,PSD420,FOOD SUPPLIES                                     ,,PALAMA HOLDINGS LLC,292799,G0030237,Check,10/7/14 0:00,Paid,27422.00
2015,4,DEFENSE                                                     ,DEF112,OTHER SUPPLIES                                    ,,"POLYGUARD, LLC",290475,G0033493,Check,10/16/14 0:00,Paid,59800.00
2015,4,DEFENSE                                                     ,DEF112,OTHER SUPPLIES                                    ,,"POLYGUARD, LLC",290475,G0035095,Check,10/23/14 0:00,Paid,59800.00
2014,10,DEFENSE                                                     ,DEF112,OTHER SUPPLIES                                    ,,"POLYGUARD, LLC",290475,G0080127,Check,4/17/14 0:00,Paid,58705.00
2015,1,"BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM                 ",BED120,OTHER SUPPLIES                                    ,,FACTS INC.,322820,S0002804,Check,7/23/14 0:00,Paid,50666.95
2014,12,HEALTH                                                      ,HTH430,OTHER SUPPLIES                                    ,,ALADDIN TEMP-RITE LLC,276685,G0095913,Check,6/13/14 0:00,Paid,26704.98
2015,6,HEALTH                                                      ,HTH904,OTHER SUPPLIES                                    ,,"HARMONY INFORMATION SYSTEMS,",320265,G0055206,Check,12/23/14 0:00,Paid,182300.00
2015,2,HEALTH                                                      ,HTH560,OTHER SUPPLIES                                    ,,HEWLETT-PACKARD COMPANY,7763,S0010345,Check,8/27/14 0:00,Paid,26812.40
2015,2,PUBLIC SAFETY                                               ,PSD403,OTHER SUPPLIES                                    ,,GRAINGER,276597,G0013811,Check,8/20/14 0:00,Paid,52208.23
2015,4,PUBLIC SAFETY                                               ,PSD900,OTHER SUPPLIES                                    ,,GRAINGER,217201,G0029010,Check,10/2/14 0:00,Paid,32979.04
2014,10,PUBLIC SAFETY                                               ,PSD402,OTHER SUPPLIES                                    ,,"MOTOROLA SOLUTIONS, INC.",319747,G0077080,Check,4/8/14 0:00,Paid,30369.10
2014,7,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,"KELENA FARMS, INC",326599,S0042726,Check,1/28/14 0:00,Paid,338130.00
2015,6,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,PACIFIC BIODIESEL,333667,B0002597,Check,12/18/14 0:00,Paid,36458.10
2015,6,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,PACIFIC BIODIESEL,333667,B0002597,Check,12/18/14 0:00,Paid,41666.40
2015,6,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,PACIFIC BIODIESEL,333667,B0002597,Check,12/18/14 0:00,Paid,55416.00
2015,6,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,PACIFIC BIODIESEL,333667,B0002597,Check,12/18/14 0:00,Paid,116005.51
2015,6,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,PACIFIC BIODIESEL,333667,B0002597,Check,12/18/14 0:00,Paid,187498.80
2015,6,AGRICULTURE                                                 ,AGR161,OTHR MATERIALS & SUPPLIES- CALLING CARDS          ,,PACIFIC BIODIESEL,333667,B0002597,Check,12/18/14 0:00,Paid,248320.00
2014,10,AGRICULTURE                                                 ,AGR122,IRRIGATION MATERIALS & INSTALLATION               ,,BEYLIK DRILLING & PUMP SERVICE,304890,S0060885,Check,4/22/14 0:00,Paid,27120.00
2015,4,AGRICULTURE                                                 ,AGR161,IRRIGATION MATERIALS & INSTALLATION               ,,PACIFIC PIPE CO.,330923,S0023064,Check,10/22/14 0:00,Paid,74114.72
2015,4,AGRICULTURE                                                 ,AGR161,IRRIGATION MATERIALS & INSTALLATION               ,,PACIFIC PIPE CO.,330923,S0023699,Check,10/27/14 0:00,Paid,25618.88
2015,6,ATTORNEY GENERAL                                            ,ATG100,DUES AND SUBSCRIPTIONS                            ,,COLORADO DEPARTMENT OF LAW,333930,S0032690,Check,12/4/14 0:00,Paid,26655.69
2015,1,ATTORNEY GENERAL                                            ,ATG100,DUES AND SUBSCRIPTIONS                            ,,NATIONAL ASSOCIATION OF,101677,G0010105,Check,8/5/14 0:00,Paid,30350.00
2015,4,ATTORNEY GENERAL                                            ,ATG100,DUES AND SUBSCRIPTIONS                            ,,NATIONAL CONFERENCE OF COMMIS-,102105,G0030177,Check,10/6/14 0:00,Paid,33600.00
2015,1,ATTORNEY GENERAL                                            ,ATG231,DUES AND SUBSCRIPTIONS                            ,,OPEN JUSTICE BROKER CONSORTIUM,321570,S0006432,Check,8/4/14 0:00,Paid,26082.19
2015,1,ATTORNEY GENERAL                                            ,ATG231,DUES AND SUBSCRIPTIONS                            ,,OPEN JUSTICE BROKER CONSORTIUM,321570,S0006432,Check,8/4/14 0:00,Paid,58917.81
2015,4,GOVERNOR                                                    ,GOV100,DUES AND SUBSCRIPTIONS                            ,,NATIONAL GOVERNORS',100021,G0039424,Check,11/7/14 0:00,Paid,60700.00
2014,11,COMMERCE AND CONSUMER AFFAIRS                               ,N/A,DUES AND SUBSCRIPTIONS                            ,,HAWAII JOINT UNDERWRITING PLAN,118618,T0010075,Check,5/29/14 0:00,Paid,349000.00
2015,1,TAXATION                                                    ,TAX107,DUES AND SUBSCRIPTIONS                            ,,MULTISTATE TAX COMMISSION,76817,G0009554,Check,8/4/14 0:00,Paid,249006.00
2014,7,TRANSPORTATION                                              ,TRN195,DUES                                              ,,AAAE ALA & FEDERAL AFFAIRS,323630,S0041811,Check,1/22/14 0:00,Paid,47500.00
2014,9,TRANSPORTATION                                              ,TRN595,DUES                                              ,,AASHTO,0000D44789,S0051867,Check,3/6/14 0:00,Paid,25000.00
2014,9,TRANSPORTATION                                              ,TRN595,DUES                                              ,,AASHTO,0000D44789,S0054742,Check,3/21/14 0:00,Paid,28118.00
2015,5,TRANSPORTATION                                              ,TRN195,DUES                                              ,,AIRPORTS COUNCIL INTERNATIONAL,242510,S0032031,Check,12/1/14 0:00,Paid,75206.00
2014,7,TRANSPORTATION                                              ,TRN195,DUES                                              ,,AIRPORTS COUNCIL INTERNATIONAL,242510,S0041050,Check,1/16/14 0:00,Paid,42120.00
2014,7,TRANSPORTATION                                              ,TRN195,DUES                                              ,,AIRPORTS COUNCIL INTERNATIONAL,242510,S0041810,Check,1/22/14 0:00,Paid,74904.00
2014,12,TRANSPORTATION                                              ,TRN395,DUES                                              ,,AMERICAN ASSOCIATION OF PORT,290495,S0073349,Check,6/17/14 0:00,Paid,37183.00
2014,7,TRANSPORTATION                                              ,TRN195,DUES                                              ,,U.S. TRAVEL ASSOCIATION,329038,S0041809,Check,1/22/14 0:00,Paid,60050.00
